X,Y,toponyme,numero,topo_actue
6.63762451676704,46.5198245226053,Rue de Martheray,"1",Rue Marterey
6.63769124756355,46.519886334856,Rue de Martheray,"2",Rue Marterey
6.63790683936758,46.5202854636966,Rue de Martheray,"3",Rue Marterey
6.63758601823065,46.519540185346,Rue de Martheray,"60",Rue Marterey
6.63762964990529,46.5195843371918,Rue de Martheray,"59",Rue Marterey
6.6376861144254,46.519649681858,Rue de Martheray,"58",Rue Marterey
6.6377477120837,46.5197114943077,Rue de Martheray,"57",Rue Marterey
6.63779417716384,46.5197691393875,Rue de Martheray,"56",Rue Marterey
6.63783600070496,46.5198134146872,Rue de Martheray,"55",Rue Marterey
6.63787782424609,46.519858796832,Rue de Martheray,"54",Rue Marterey
6.63791643059175,46.5199074995794,Rue de Martheray,"53",Rue Marterey
6.63796951431703,46.5199584160413,Rue de Martheray,"52",Rue Marterey
6.63800972926042,46.5200071186994,Rue de Martheray,"51",Rue Marterey
6.63804350981286,46.5200513938051,Rue de Martheray,"50",Rue Marterey
6.63809820213588,46.5200978826275,Rue de Martheray,"49",Rue Marterey
6.63812715689512,46.5201399439085,Rue de Martheray,"48",Rue Marterey
6.63816093744757,46.5201753639095,Rue de Martheray,"47",Rue Marterey
6.63819310940228,46.5202074632654,Rue de Martheray,"46",Rue Marterey
6.63822206416152,46.5202428832224,Rue de Martheray,"45",Rue Marterey
6.6382526275185,46.5202771962836,Rue de Martheray,"44",Rue Marterey
6.63828640807095,46.5203159368106,Rue de Martheray,"43",Rue Marterey
6.6383250144166,46.520353570439,Rue de Martheray,"42",Rue Marterey
6.63835075198037,46.5203912040412,Rue de Martheray,"41",Rue Marterey
6.63840222710792,46.5204310513564,Rue de Martheray,"40",Rue Marterey
6.63844405064904,46.520472005511,Rue de Martheray,"39",Rue Marterey
6.6385003515698,46.520519600841,Rue de Martheray,"38",Rue Marterey
6.63876679194995,46.5208738446091,Rue de Martheray,"4",Rue Marterey
6.63909008553164,46.5210442355326,Rue de Martheray,4A,Rue Marterey
6.63907799456323,46.5212189479336,Rue de Martheray,"5",Rue Marterey
6.63924323779761,46.5211953756582,Rue de Martheray,"6",Rue Marterey
6.63921905586084,46.521324329745,Rue de Martheray,"7",Rue Marterey
6.63930167747803,46.5213173967373,Rue de Martheray,"8",Rue Marterey
6.63937019296545,46.5213173967373,Rue de Martheray,"9",Rue Marterey
6.63946087522821,46.5213173967373,Rue de Martheray,"10",Rue Marterey
6.63955961813655,46.5213187833389,Rue de Martheray,"11",Rue Marterey
6.63964828523792,46.521314623534,Rue de Martheray,"12",Rue Marterey
6.63979740718112,46.5213395823585,Rue de Martheray,"13",Rue Marterey
6.63989211976667,46.5213645411716,Rue de Martheray,"14",Rue Marterey
6.63997675654525,46.521370087573,Rue de Martheray,"15",Rue Marterey
6.64005534783964,46.5213992061708,Rue de Martheray,"16",Rue Marterey
6.64015207558656,46.5215059742295,Rue de Martheray,"17",Rue Marterey
6.64016618171634,46.5214075257673,Rue de Martheray,"18",Rue Marterey
6.63902963068985,46.5207696863389,Rue de Martheray,"37",Rue Marterey
6.6390820248861,46.5208057383324,Rue de Martheray,"36",Rue Marterey
6.6391203129526,46.5208348572326,Rue de Martheray,"35",Rue Marterey
6.63934802619018,46.5209735184487,Rue de Martheray,"34",Rue Marterey
6.63955558781382,46.521051168575,Rue de Martheray,"33",Rue Marterey
6.63961201233286,46.5210775141284,Rue de Martheray,"32",Rue Marterey
6.63964896492255,46.5210942263649,Rue de Martheray,"31",Rue Marterey
6.63969978752666,46.5211118780863,Rue de Martheray,"31",Rue Marterey
6.63974316990537,46.5211299405985,Rue de Martheray,"30",Rue Marterey
6.63979162172931,46.5211459927415,Rue de Martheray,"29",Rue Marterey
6.63983947538258,46.5211595753202,Rue de Martheray,"28",Rue Marterey
6.63990347964384,46.5211785086063,Rue de Martheray,"27",Rue Marterey
6.63998542902508,46.5211879752468,Rue de Martheray,"26",Rue Marterey
6.64024083421255,46.521263617846,Rue de Martheray,"25",Rue Marterey
6.64087397955729,46.5214954021178,Chemin de Chailly,"24",Avenue de Béthusy
6.64127823092516,46.5221484988254,Route de Berne,"22",Rue du  Bugnon
6.64134939750003,46.5228422060085,Route de Berne,"20",Rue du  Bugnon
6.63838918161715,46.5234616849932,Le Solitaire,,
6.63736740759414,46.5238166959246,Filature,"30",Rue Saint-Martin
6.63738233854284,46.5234527269337,Filature,"31",Rue Saint-Martin
6.63764464949664,46.5257339034468,Scierie,,
6.63806908918641,46.5250285268277,La Solitude,"35",
6.63829433187148,46.5247007908787,La Solitude,"35",
6.63589066485176,46.5258569033511,La Barre,"15",Rue de la Barre
6.63589394167791,46.5257554487155,La Barre,"14",Rue de la Barre
6.63578089117651,46.5254003559991,La Barre,"13",Rue de la Barre
6.63563343400071,46.5253361008785,La Barre,"11",Rue de la Barre
6.6355318523907,46.5253034096477,La Barre,"10",Rue de la Barre
6.63543354760682,46.5252662092577,La Barre,"9",Rue de la Barre
6.63537784156262,46.5252391544126,La Barre,"8",Rue de la Barre
6.63603497275416,46.5253500724202,La Barre,"48",Rue de la Barre
6.63604111060291,46.5252853190097,La Barre,"19",Rue de la Barre
6.63605543224998,46.5252177501514,La Barre,"50",Rue de la Barre
6.63605952414914,46.5251741118857,La Barre,"51",Rue de la Barre
6.63606157009873,46.5251304735849,La Barre,"52",Rue de la Barre
6.63120489999671,46.5253092096553,Mont Rose,21a,
6.63183999166942,46.5253513729013,Mont Rose,21b,
6.63195141126119,46.5250204544231,Mont Rose,21c,
6.63251587496882,46.5248486723958,Le Valentin,"22",Rue du Valentin
6.63050077990027,46.5258709207734,Clomont,"20",
6.63138753026575,46.5256670758381,Clomont,"20",
6.629924806532,46.5262593644237,Le Clos de Bulle,19d,
6.62875207226758,46.5261058641795,Le Frêne,"86",
6.62904275235235,46.5259652878902,Le Frêne,"85",
6.62895849725539,46.5256044254409,,"84",
6.62840605272287,46.5250261653735,Au Pré du Marché,"78",
6.62854045538188,46.5247813804585,Au Pré du Marché,"79",
6.62888832108745,46.5246671471207,Au Pré du Marché,"80",
6.62926781094807,46.5245420341416,Au Pré du Marché,"81",
6.62911759621154,46.5247614349723,Au Pré du Marché,"82",
6.6292836230255,46.5250207257206,Au Pré du Marché,"83",
6.62914394967418,46.524250102737,St Roche,"77",
6.62946809726346,46.5241775729521,St Roche,"76",
6.6296156766537,46.5241195490545,St Roche,"76",
6.62976019178946,46.5246499901137,Au Pré du Marché,"88",
6.6299502011618,46.5245601100624,Au Pré du Marché,"89",
6.63055535185113,46.5247196004321,Les Petites Roches,"19",Rue du Valentin
6.63071046467578,46.5246479427954,Les Petites Roches,"19",Rue du Valentin
